index,title
95,"Media Release By Reliance Jio Infocomm Limited, A Subsidiary Of The Company"
96,Media Call And Earnings Call - Audio Recordings
97,Transcripts Of The Call With Media And Of Earnings Call With Analysts And Investors
98,Media And Earnings Call - Audio Recordings
99,"Media Release By Reliance Retail Ventures Limited, A Subsidiary Of The Company"
100,"Clarification /Confirmation On News Item Appearing In 'Media/Publication' Ref: Your E-Mail Dated 21St June, 2023"
101,Announcement under Regulation 30 (LODR)-Press Release / Media Release
102,"Please Find Attached A Media Release By Radisys Corporation, Titled Radisys Acquires Mimosa To Accelerate Availability Of Broadband Access For Advancing Societies."
103,Media Call/Earnings Call
104,"Media Release Issued Jointly By Reliance Jio Infocomm Limited And Reliance Retail Ventures Limited, Subsidiaries Of The Company,"
105,Please Find Enclosed The Press Release Titled 'Energy Transition Among The Top 3 Priorities For 73 Percent Of Companies: Infosys-HFS Research Study'
106,"Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter Ended June 30, 2023"
107,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised)
108,Transcripts Of The Conference Call With Media And Of Earnings Call With Analysts And Investors.
109,Media Release By Reliance Jio Infocomm Limited
110,Transcripts Of The Earnings Call With Media And Of Earnings Call With Analysts And Investors.
111,Media Call And Earnings Call On Financial Results
112,Intimation Of Notice Sent To Shareholders/Advertised In Media For Transfer Of Shares To Investor Education And Protection Fund (IEPF)
113,"Media Release By Reliance Jio Infocomm Limited, A Subsidiary Of The Company."
114,Media Statement And Investor Presentation
115,Publication Of Advertisement Re: Completion Of Despatch Of The Postal Ballot Notice
116,Post-Buyback Public Advertisement
117,Clarification On News Item Appearing In Media/Publication
118,General Meeting Dated 19Th June 2023: Newspaper Publication
119,"Clarification /Confirmation On News Item Appearing In 'Media/Publication' Ref: Your E-Mail Dated 21St June, 2023"
120,Newspaper Advertisement - Notice Of 23Rd Annual General Meeting (AGM)
121,Newspaper Clippings - Advertisement W.R.T. Notice Of Hearing Of Company Scheme Petition
122,Newspaper Advertisement Regarding Transfer Of Shares In Respect Of Which Dividend Has Remained Unpaid / Unclaimed Since 2015 - 2016 For A Period Of Seven Consecutive Years Or More To Investor Education Protection Fund Authority ('IEPFA')
123,Gazette Publication For Annual General Meeting
124,Clarification On News Item Appearing In 'Media/Publication'
125,Announcement under Regulation 30 (LODR)-Newspaper Publication
126,Reference To An Article Published In A Media Publication Today
127,Publication Of Advertisement Re: Completion Of Despatch Of The Postal Ballot Notice
128,Post-Buyback Public Advertisement
129,Clarification On News Item Appearing In Media/Publication
130,General Meeting Dated 19Th June 2023: Newspaper Publication
131,"Clarification /Confirmation On News Item Appearing In 'Media/Publication' Ref: Your E-Mail Dated 21St June, 2023"
132,Newspaper Advertisement - Notice Of 23Rd Annual General Meeting (AGM)
133,Newspaper Clippings - Advertisement W.R.T. Notice Of Hearing Of Company Scheme Petition
134,Newspaper Advertisement Regarding Transfer Of Shares In Respect Of Which Dividend Has Remained Unpaid / Unclaimed Since 2015 - 2016 For A Period Of Seven Consecutive Years Or More To Investor Education Protection Fund Authority ('IEPFA')
135,Gazette Publication For Annual General Meeting
136,Clarification On News Item Appearing In 'Media/Publication'
137,Announcement under Regulation 30 (LODR)-Newspaper Publication
138,Reference To An Article Published In A Media Publication Today
139,Newspaper Ad - Exclusive Limited-Time Offer for Shareholders
140,Public Notice - Advertisement for Annual Investor Relations Seminar
141,Media Release - Special Promotion Featured in Leading Newspapers
142,Advertisement Insert - Invitation to the Company's Open House Event
143,Press Release - Innovative Marketing Campaign Showcased in Newspapers
144,Press Release - Newspaper Feature on Company's Corporate Social Responsibility
145,Airtel surpasses the 2 million customer mark on its 5G network in Andhra Pradesh and Telangana
146,Cipla Signs Perpetual Licensing Agreement With Novartis Pharma AG For Galvus® Range For Diabetes Therapy In India
147,'Infosys Collaborates With Mobility Specialist ZF To Revamp Supply Chain Operations'
148,Infosys Foundation Collaborates With Several Social Organizations To Bolster Women Empowerment In India
149,Infosys Leads Global ESG Rankings
150,Infosys Rolls Out Private 5G-As-A-Service To Accelerate Business Value For Enterprise Clients Worldwide
151,Infosys Collaborates With Motherhood Hospitals To Foster Learning In Healthcare Through Infosys Springboard
152,"Infosys Foundation USA Announces Crossroads 2023 Conference In Tempe, AZ"
153,Infosys Collaborates With GE Digital To Deliver Energy Transition Solutions
154,Infosys Collaborates With Jawaharlal Nehru Technological University - Kakinada To Digitally Skill India Through Infosys Springboard
155,Infosys Foundation Announces The Third Edition Of The Aarohan Social Innovation Awards
156,Infosys Foundation Announces The Third Edition Of The Aarohan Social Innovation Awards
157,Infosys Recognized As Number One Service Provider Across The United Kingdom In The Whitelane Research And PA Consulting IT Sourcing Study 2023
158,Infosys Unveils New AI-Powered Solutions for Enhanced Customer Experience
159,Infosys Wins Prestigious Innovation Award for Breakthrough Technology
