index,title
66,Updates - 'Hcltech To Acquire German Automotive Engineering Services Company ASAP Group'
67,Clarification sought from Bharti Airtel Ltd
68,Announcement under Regulation 30 (LODR)-Meeting Updates
69,Update On Institutional Investors'' Meeting
70,Completion Of Acquisition Of Oiltanking India Gmbh'S
71,"Order Passed By The Hon'Ble National Company Law Tribunal, Mumbai Bench, Sanctioning The Scheme Of Arrangement Between Reliance Projects & Property Management Services Limited And Its Shareholders And Creditors & Reliance Industries Limited And Its Shareholders And Creditors ('Scheme') - Further Update"
72,"Update On USFDA Inspection At Cipla''s Manufacturing Facility In Pithampur, Indore"
73,Announcement under Regulation 30 (LODR)-Updates on Joint Venture
74,Update On Institutional Investors' Meeting
75,Update On The Scheme Of Arrangement Between Reliance Industries Limited And Its Shareholders And Creditors & Reliance Strategic Investments Limited And Its Shareholders And Creditors
76,Update - Intimation Of Receipt Of Mutual Fund Licence From SEBI
77,Update On Mohali Facility
78,ITC Ltd reply to clarification sought by the exchange
79,Announcement under Regulation 30 (LODR)-Dividend Updates
80,"Update On The Intimation Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Sale Of Residual Stake Held By The Company In Sanyo Special Steel Manufacturing India Private Limited (Formerly Known As Mahindra Sanyo Special Steel Private Limited) Pursuant To Exercise Of A Put Option"
81,Update On The Definitive Agreement Entered Between The Company And Lubrizol Manufacturing India Private Limited
82,Company Update On Sales Volume
83,Company Update
84,Announcement under Regulation 30 (LODR)-Monthly Business Updates
85,Board Meeting Update
86,Updates And Disclosures Relating To Reliance Strategic Investments Limited
87,"Updates Regarding The Buyback Of Upto 26,96,62,921 (Twenty Six Crore Ninety Six Lakh Sixty Two Thousand Nine Hundred And Twenty One Only) Fully Paid Up Equity Shares Of The Company Of Face Value Of Rs. 2 (Rupees Two Only) Each At A Price Of Rs. 445/- (Rupees Four Hundred And Forty Five Only) Per Equity Share (""Buyback"")"
88,Update On The Scheme Of Arrangement Between Reliance Industries Limited ('Company' Or 'RIL') And Its Shareholders And Creditors & Reliance Strategic Investments Limited (Presently Known As Jio Financial Services Limited) And Its Shareholders And Creditors
89,Update On Withdrawal Of The Scheme Of Amalgamation Of Reliance New Energy Limited With Reliance Industries Limited & Their Respective Shareholders
90,"Updates of Disclosures under Reg. 10(5) in respect of acquisition under Reg. 10(1)(a) of SEBI (SAST) Regulations, 2011"
91,Outcome Of Analyst Investors Meet - Update On Mode Of The Meeting
92,Closure of Trading Window
93,Clarification Sought from Adani Ports and Special Economic Zone Ltd
94,"Update On The Scheme Of Arrangement Between Reliance Industries Limited And Its Shareholders And Creditors & Reliance Strategic Investments Limited (Presently Known As Jio Financial Services Limited) And Its Shareholders And Creditors (""Scheme"") Listing Of Equity Shares Of Jio Financial Services Limited ('JFSL')"
95,"Further To Our Intimation Filed On 2Nd March 2023, Regarding An Information Technology ('IT') Security Incident, We Wish To Provide An Update."
96,Clarification sought from Hero MotoCorp Ltd
97,Clarification sought from AXIS Bank Ltd
98,"Update To Disclosure Dated April 8, 2021 - Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015"
99,Updates
100,Clarification sought from ITC Ltd
101,Reply To Clarification Sought
102,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
103,Company Update On Commissioning Of Cement Capacity
104,"Presentation On Earnings Call Update - Consolidated And Standalone Audited Financial Results Of The Bank For The Financial Year Ended March 31, 2023"
105,Announcement Under Regulation 30 (LODR) - Updates
106,Clarification sought from ICICI Prudential Life Insurance Company Ltd
107,"Update On Agreement(S) For Partial Divestment Of Stake Held By Mahindra Holdings Limited (""MHL""), A Wholly Owned Subsidiary Of The Company, In Mahindra Susten Private Limited, A Subsidiary Of MHL And Of The Company And Related Transactions"
108,Clarification sought from Oil and Natural Gas Corporation Ltd
109,Clarification sought from Shree Cement Ltd
110,Clarification sought from Tata Steel Ltd
111,Update - Effective Date Of Appointment Of Mr. Rolf Hoffmann As An Independent Director
112,Clarification Sought From The Company
113,"Submission Of Disclosure Pursuant To Chapter XIV - Centralized Database For Corporate Bonds/ Debentures, Annexure XIV-B Of SEBI Operational Circular Dated August 10, 2021 (Updated As On April 13, 2022)"
114,"Updated Independent Auditor'S Report On The Consolidated Financial Statements As At And For The Year Ended March 31, 2023, Prepared Under Indian Accounting Standards, Issued On April 13, 2023"
115,Announcement under Regulation 30 (LODR)-Updates on Acquisition
116,Update - Additional Information On Financial Results
117,Compliances-Reg.24(A)-Annual Secretarial Compliance
118,Disclosures under Reg. 31(1) and 31(2) of SEBI (SAST)
119,Company Update: Commissioning Of Cement Capacity
120,"Update On Press Release Dated February 27, 2023"
121,Clarification sought from Adani Ports and Special Economic Zone Ltd
122,"Disclosure Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 - Updates"
123,Reply To Clarification Sought
124,Quarterly Update - Q4 FY 2022-23
125,Clarification sought from JSW Steel Ltd
126,"Update To The Disclosure Dated August 23, 2023 On Investment By Qatar Holding LLC In Reliance Retail Ventures Limited, A Subsidiary Of The Company"
127,"Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 (Update)"
128,Update On Appointment Of MD & CEO
129,Corporate Insolvency Resolution Process (CIRP)-Updates - Corporate Insolvency Resolution Process (CIRP)
130,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
131,Updates on Notice of Offer for Sale of Shares by Promoter
132,"Disclosure Under Clause 2.2(B) Of Chapter-XIV Of The Operational Circular No. SEBI/HO/DDHS/P/CIR/2021/613 Dated August 10, 2021 Updated As On April 13, 2022 ('Operational Circular')."
133,Updates And Disclosures In Connection With The Scheme Of Arrangement Between Reliance Industries Limited And Its Shareholders And Creditors & Reliance Strategic Investments Limited And Its Shareholders And Creditors ('Scheme')
134,Deuruxolitinib (CTP-543) Clinical Program Update
135,Adani Ports and Special Economic Zone Ltd reply to clarification sought by the exchange
136,Clarification sought from NTPC Ltd
137,Clarification sought from Sun Pharmaceutical Industries Ltd
138,"Update To The Disclosure Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations, 2015 Made On May 6, 2022 - Withdrawal Of The Scheme Of Amalgamation Of Reliance New Energy Limited With Reliance Industries Limited & Their Respective Shareholders"
139,Intimation For Incorporation Of A Wholly Owned Subsidiary Company ('WOS') By The Adani Harbour Services Limited.
140,"Completion Of Acquisition Of Oiltanking India Gmbh'S 49.38% Equity Stake In Indian Oiltanking Ltd (IOTL) And Oiltanking Gmbh'S 10% Equity Stake In IOT Utkal Energy Services Ltd, A Subsidiary Of IOTL."
141,Reply To Clarification On News Item
142,reply 
143,Reply
144,POWERGRID Has Successfully Commissioned The Project.
145,successfully initiated
146,successfully started
